time,Duplicates Acked,Packets Acked,Total Join Responses,Join Responses Dropped,Total Packets,Packets Dropped,,,,
06-10-16 15:06,74,234,0,0,234,0,,,,
06-10-16 16:38,7,0,0,0,0,,,,,
06-10-16 16:55,0,1,0,0,1,0,,,,
06-10-16 17:06,0,2,0,0,2,0,,,,
06-10-16 19:31,9,25,0,0,25,0,,,,
06-10-16 22:11,12,43,0,0,43,0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
